,scientific_name,common_name,genus,percentage,count
32,Melaleuca quinquenervia,Cajeput,Melaleuca,0.8351743089606121,310
33,Ficus nitida,Laurel Fig,Ficus,0.7435745460423514,276
34,Washingtonia robusta,Mexican Fan Palm,Washingtonia,0.6250336763834259,232
35,Lagunaria patersonii,Primrose Tree,Lagunaria,0.6115631230130935,227
36,Phoenix canariensis,Canary Island Date Palm,Phoenix,0.5657632415539631,210
37,Schinus terebinthifolius,Brazilian Pepper,Schinus,0.5603750202058301,208
38,Agonis flexuosa,Peppermint Willow,Agonis,0.5361280241392317,199
39,Eucalyptus polyanthemos,Silver Dollar Eucalyptus,Eucalyptus,0.5307398027910987,197
40,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Magnolia,0.5226574707688992,194
41,Jacaranda mimosifolia,Jacaranda,Jacaranda,0.5172692494207662,192
42,Laurus nobilis,Sweet Bay: Grecian Laurel,Laurus,0.5091869173985668,189
43,Syagrus romanzoffianum,Queen Palm,Syagrus,0.5037986960504338,187
44,Acer rubrum,Red Maple,Acer,0.5011045853763673,186
45,Callistemon viminalis,Weeping Bottlebrush,Callistemon,0.4633870359394364,172
46,Ceratonia siliqua,Carob,Ceratonia,0.4606929252653699,171
47,Ficus microcarpa,Chinese Banyan,Ficus,0.43105770785063846,160
48,Eucalyptus sideroxylon,Red Ironbark,Eucalyptus,0.4041166011099736,150
49,Arbutus unedo,Strawberry Tree,Arbutus,0.3690931623471092,137
50,Crataegus phaenopyrum,Washington Hawthorn,Crataegus,0.3421520556064443,127
51,Acacia baileyana,Bailey's Acacia,Acacia,0.33406972358424486,124
52,Fraxinus uhdei,Shamel Ash: Evergreen Ash,Fraxinus,0.3152109488657794,117
53,Quercus agrifolia,Coast Live Oak,Quercus,0.30712861684357995,114
54,Syzygium paniculatum,Brush Cherry,Syzygium,0.29904628482138046,111
55,Afrocarpus gracilior,Fern Pine,Afrocarpus,0.29365806347324747,109
56,Lyonothamnus floribundus subsp. asplenifolius,Santa Cruz Ironwood,Lyonothamnus,0.29096395279918097,108
57,Rhamnus alaternus,Italian Buckthorn,Rhamnus,0.29096395279918097,108
58,Leptospermum scoparium,New Zealand Tea Tree,Leptospermum,0.28557573145104803,106
59,Yucca gloriosa,Spanish Dagger,Yucca,0.27479928875478205,102
60,Rhaphiolepis Majestic Beauty,Indian Hawthorn  'Majestic Beau',Rhaphiolepis,0.27479928875478205,102
61,Acer palmatum,Japanese Maple,Acer,0.27210517808071555,101
62,Pyrus calleryana 'Aristocrat',Aristocrat Callery Pear,Pyrus,0.26941106740664905,100
63,Pistacia chinensis,Chinese Pistache,Pistacia,0.2613287353844496,97
64,Taxus baccata,Irish Yew,Taxus,0.2586346247103831,96
65,Eucalyptus globulus,Blue Gum,Eucalyptus,0.2532464033622501,94
